"NAME","X","Y"
"房山区",116.137116,39.746649
"大兴区",116.335349,39.725483
"石景山区",116.217102,39.904546
"丰台区",116.280278,39.857236
"宣武区",116.345851,39.870869
"西城区",116.360306,39.911323
"崇文区",116.42531,39.886861
"通州区",116.651111,39.908937
"门头沟区",115.635135,39.999051
"海淀区",116.292531,39.958152
"朝阳区",116.487471, 39.920593
"东城区",116.409949,39.92714
"平谷区",117.114714,40.139091
"顺义区",116.648831,40.129094
"昌平区",116.225391,40.21944
"怀柔区",116.626075,40.315188
"密云县",116.837115,40.375204
"延庆县",115.968617,40.455447
"朝阳区",116.596774, 40.065848
