topic,hour,count
0,0,3
0,1,14
0,2,9
0,3,4
0,4,4
0,5,5
0,6,27
0,7,25
0,8,39
0,9,88
0,10,318
0,11,260
0,12,286
0,13,223
0,14,304
0,15,345
0,16,366
0,17,308
0,18,296
0,19,248
0,20,174
0,21,163
0,22,99
0,23,70
0,24,89
1,0,105
1,1,59
1,2,62
1,3,43
1,4,71
1,5,127
1,6,449
1,7,816
1,8,1187
1,9,1693
1,10,1902
1,11,1369
1,12,1257
1,13,1157
1,14,1409
1,15,1415
1,16,1460
1,17,2135
1,18,2522
1,19,1665
1,20,646
1,21,118
1,22,57
1,23,6
1,24,1041
2,0,12
2,1,4
2,2,4
2,3,2
2,4,5
2,5,13
2,6,69
2,7,120
2,8,266
2,9,465
2,10,1117
2,11,1297
2,12,1134
2,13,973
2,14,1064
2,15,1149
2,16,983
2,17,1225
2,18,858
2,19,295
2,24,389
3,0,7
3,1,6
3,2,3
3,3,6
3,4,4
3,5,9
3,6,15
3,7,40
3,8,139
3,9,98
3,10,84
3,11,75
3,12,28
3,13,57
3,14,89
3,15,100
3,16,104
3,17,182
3,18,151
3,19,10
3,24,38
4,7,1
4,9,3
4,10,5
4,11,3
4,12,4
4,13,1
4,15,7
4,16,5
4,17,3
4,18,1
4,20,2
4,24,6
5,11,5
5,13,3
5,14,2
5,17,4
5,19,5
5,20,3
5,21,1
6,1,1
6,2,2
6,7,2
6,8,10
6,9,9
6,10,5
6,11,20
6,12,13
6,13,15
6,14,38
6,15,95
6,16,182
6,17,117
6,18,174
6,19,108
6,22,1
6,24,10
7,7,4
7,8,3
7,9,7
7,11,3
7,12,3
7,13,6
7,14,8
7,15,1
7,18,4
7,21,3
7,22,1
7,23,1
8,0,161
8,1,104
8,5,2
8,6,6
8,7,4
8,8,19
8,9,13
8,10,15
8,11,24
8,12,18
8,13,30
8,14,63
8,15,65
8,16,90
8,17,177
8,18,608
8,19,1064
8,20,813
8,21,563
8,22,492
8,23,220
8,24,292
9,3,3
9,4,4
9,5,4
9,6,8
9,7,31
9,8,85
9,9,7
9,10,4
9,11,4
9,12,5
9,13,4
9,14,2
9,15,4
9,16,19
9,17,49
9,18,77
9,24,15
10,0,75
10,1,52
10,7,1
10,8,3
10,9,1
10,10,2
10,11,5
10,12,5
10,13,4
10,14,6
10,15,8
10,16,16
10,17,18
10,18,114
10,19,239
10,20,194
10,21,100
10,22,139
10,23,47
10,24,206
